seller_id,table_eligible,source_eligible,table_late,source_late,seller_late_rate,expected_late_marketplace,excess_late_marketplace
06a2c3af7b3aee5d69171b0e14f0ee87,389,389,74,74,0.19023136246786632,26.037797384752228,47.962202615247776
4a3ca9315b744ce9f8e9374361493884,1772,1772,172,172,0.09706546275395034,118.60919528478392,53.39080471521608
6560211a19b47992c3666cc44a7e94c0,1819,1819,96,96,0.052776250687190766,121.7551502387257,-25.755150238725705
