delivery_class,reviewed_orders,negative_review_orders,negative_review_rate,avg_review_score
early,87203,7945,0.09110925082852654,4.298367028657271
late,6307,3932,0.6234342793721263,2.271920088790233
on_time,1264,155,0.12262658227848101,4.03995253164557
