min_eligible_seller_orders,sellers_at_or_above,late_seller_orders_kept,share_of_marketplace_late_units,sellers_with_excess_ge_15,excess_late_among_those_sellers
1,2970,6547,1.0,15,401.1471102432242
10,1237,6145,0.9385978310676646,15,401.1471102432242
30,627,5485,0.8377882999847258,15,401.1471102432242
50,425,4982,0.7609592179624255,15,401.1471102432242
100,210,3986,0.6088284710554452,14,384.03338070360184
200,86,2946,0.4499770887429357,14,384.03338070360184
300,56,2468,0.3769665495646861,11,323.54932471807876
