slice,eligible_orders,late_count,late_delivery_rate,avg_seller_handling_days,median_seller_handling_days,avg_carrier_transit_days,median_carrier_transit_days
all_comparable,95453,6509,0.0681906278482604,2.823573712053668,1.8428125,9.345411512401725,7.104733796296296
exclude_p99_transit,94500,5565,0.058888888888888886,2.818985508834778,1.8393171296296296,8.863591386859659,7.078738425925925
exclude_p99_handling,94512,6018,0.06367445403758253,2.611993627145756,1.8196643518518518,9.338440190789093,7.102881944444444
exclude_p99_delay,94504,5560,0.05883348852958605,2.782554525575417,1.8347222222222221,8.905065148465233,7.079594907407408
