segment_type,segment_key,unit_grain,eligible_units,late_units,late_rate,seller_handling_eligible,avg_seller_handling_days,median_seller_handling_days,carrier_transit_eligible,avg_carrier_transit_days,median_carrier_transit_days,avg_promised_window_days,median_promised_window_days,avg_purchase_to_delivery_days,gmv,late_gmv,n_sellers,is_low_sample
customer_state,SP,order,40116,1809,0.045094226742446904,39546,2.785486944938478,1.798159722222222,40052,5.5897513484206645,4.398715277777777,19.57528101089151,19.0,8.725051219230435,5146564.33,268438.08,,False
customer_state,RJ,order,12219,1492,0.12210491856944103,12080,2.929627905015943,1.887650462962963,12200,12.041712795992714,8.396035879629629,26.8122595957116,25.0,15.307373586938072,1800163.02,213918.66,,False
customer_state,MG,order,11217,519,0.046269055897298746,11055,2.8398130496507363,1.8421412037037037,11191,8.803874232807779,7.198113425925926,24.95408754568958,24.0,11.994073724282586,1564255.13,75837.49,,False
customer_state,BA,order,3229,395,0.1223288943945494,3183,2.8714960408885166,1.8934722222222222,3225,16.062660012919896,13.861886574074074,29.916073087643234,29.0,19.366330968336715,506499.92,61888.84,,False
customer_state,RS,order,5275,324,0.0614218009478673,5192,2.7606029374785996,1.8832349537037039,5258,12.13489135823014,10.031469907407407,28.929492039423806,28.0,15.311326119010005,733972.42,43838.04,,False
customer_state,SC,order,3511,290,0.08259755055539732,3459,2.892519042513893,1.8908680555555557,3499,11.647569560218264,9.667523148148149,26.24950156650527,26.0,14.932561476760869,511518.75,38054.15,,False
customer_state,ES,order,1983,213,0.10741301059001512,1956,2.968508216645838,2.013142361111111,1977,12.422446631634163,9.973958333333334,26.104387291981844,25.0,15.772347710166041,271863.56,34892.78,,False
customer_state,PR,order,4841,197,0.04069407147283619,4760,2.7687583304154995,1.8449421296296298,4830,8.826112726209647,7.201961805555555,24.95992563519934,24.0,11.974181501851469,675581.72,29429.56,,False
customer_state,CE,order,1265,175,0.1383399209486166,1245,2.8775482206604193,1.9065046296296295,1264,17.93333552178563,14.806018518518517,31.697233201581028,32.0,21.211098603791537,224515.84,30570.28,,False
customer_state,PE,order,1578,152,0.09632446134347275,1558,2.8630861102196548,1.8665162037037037,1577,15.185197302367364,12.846215277777778,31.46958174904943,31.0,18.436379412524058,259534.45,26531.4,,False
customer_state,GO,order,1932,128,0.06625258799171843,1896,2.6824671579543677,1.763900462962963,1926,12.504977651099958,11.013512731481482,27.426501035196686,27.0,15.63760097960279,289380.07,18365.98,,False
customer_state,MA,order,707,124,0.1753889674681754,694,2.9411188493969473,1.8206770833333332,704,18.063696765835438,15.755758101851852,30.71004243281471,31.0,21.50785715922783,118325.87,22801.66,,False
customer_state,DF,order,2061,116,0.056283357593401265,2022,2.74554673476023,1.8630266203703703,2058,9.783576720701507,8.078229166666667,24.746239689471132,25.0,12.884681491140583,299733.54,13634.23,,False
customer_state,PA,order,932,106,0.11373390557939914,922,2.9985330928135294,1.92890625,931,20.40204514261845,17.792766203703703,37.537553648068666,37.0,23.850126110216976,175633.94,18856.72,,False
customer_state,AL,order,394,85,0.21573604060913706,390,2.9826873516144348,2.100416666666667,394,21.139695989612708,18.134722222222223,33.076142131979694,32.0,24.568415791267157,79838.35,18083.67,,False
customer_state,MS,order,700,68,0.09714285714285714,695,2.7511872668531843,1.903726851851852,698,12.473812480101879,11.075694444444444,26.591428571428573,26.0,15.623981878306878,116663.64,10189.55,,False
