seller_id,delivery_eligible_seller_orders,late_seller_orders,seller_late_rate,seller_late_contribution,seller_gmv,seller_late_gmv,is_low_sample
b2ba3715d723d245138f291a6fe42594,324,22,0.06790123456790123,0.003360317702764625,51676.88,2471.8,False
53e4c6e0f4312d4d2107a8c9cddf45cd,463,22,0.047516198704103674,0.003360317702764625,30148.95,1046.79,False
128639473a139ac0f3e5f5ade55873a5,527,22,0.04174573055028463,0.003360317702764625,11908.85,534.6,False
2eb70248d66e0e3ef83659f71b244378,187,21,0.11229946524064172,0.0032075759890025967,42628.61,6987.0,False
a49928bcdf77c55c6d6e05e09a9b4ca5,96,21,0.21875,0.0032075759890025967,8816.7,1846.9,False
d91fb3b7d041e83b64a00a3edfb37e4f,524,20,0.03816793893129771,0.0030548342752405684,40889.74,1349.07,False
17e34d8224d27a541263c4c64b11a56b,247,19,0.07692307692307693,0.0029020925614785397,56363.24,5815.9,False
cd68562d3f44870c08922d380acae552,122,19,0.1557377049180328,0.0029020925614785397,18569.7,3942.0,False
7ad32824caee82087b3e2e5f33b1bf32,147,19,0.1292517006802721,0.0029020925614785397,22505.1,3715.9,False
8f2ce03f928b567e3d56181ae20ae952,151,19,0.12582781456953643,0.0029020925614785397,21712.9,2883.9,False
b499c00f28f4b7069ff6550af8c1348a,147,19,0.1292517006802721,0.0029020925614785397,10327.13,1124.8,False
2c9e548be18521d1c43cde1c582c6de8,124,19,0.1532258064516129,0.0029020925614785397,6109.44,999.3,False
5dceca129747e92ff8ef7a997dc4f8ca,322,18,0.055900621118012424,0.0027493508477165114,112155.53,8592.78,False
7e1fb0a3ebfb01ffb3a7dae98bf3238d,155,18,0.11612903225806452,0.0027493508477165114,27349.53,3215.0,False
1ca7077d890b907f89be8c954a02686a,108,18,0.16666666666666666,0.0027493508477165114,13341.57,2331.98,False
2138ccb85b11a4ec1e37afbd1c8eda1f,388,18,0.04639175257731959,0.0027493508477165114,12357.03,535.45,False
37515688008a7a40ac93e3b2e4ab203f,227,18,0.07929515418502203,0.0027493508477165114,5986.6,491.6,False
b33e7c55446eabf8fe1a42d037ac7d6d,149,17,0.11409395973154363,0.002596609133954483,44985.17,5616.68,False
a416b6a846a11724393025641d4edd5e,157,17,0.10828025477707007,0.002596609133954483,25670.72,3017.74,False
0dd184061fb0eaa7ca37932c68ab91c5,161,17,0.10559006211180125,0.002596609133954483,18446.92,1854.0,False
712e6ed8aa4aa1fa65dab41fed5737e4,77,16,0.2077922077922078,0.0024438674201924544,39815.0,8669.0,False
e9bc59e7b60fc3063eb2290deda4cced,209,16,0.07655502392344497,0.0024438674201924544,34343.06,2696.35,False
431af27f296bc6519d890aa5a05fdb11,116,16,0.13793103448275862,0.0024438674201924544,13109.5,1878.3,False
2e90cb1677d35cfe24eef47d441b7c87,127,16,0.12598425196850394,0.0024438674201924544,13894.71,1645.3,False
