purchase_month,is_comparable_trend_window,coverage_class,delivery_performance_eligible,late_count,late_delivery_rate,gmv,late_gmv,seller_handling_eligible,avg_seller_handling_days,median_seller_handling_days,p90_seller_handling_days,carrier_transit_eligible,avg_carrier_transit_days,median_carrier_transit_days,p90_carrier_transit_days,purchase_to_delivery_eligible,avg_purchase_to_delivery_days,median_purchase_to_delivery_days,promised_window_eligible,avg_promised_window_days,median_promised_window_days,avg_delivery_delay_days,median_delivery_delay_days,p90_delivery_delay_days
2016-09-01,False,sparse_start,1,1,1.0,267.36,134.97,1,53.20503472222222,53.20503472222222,53.20503472222222,1,1.6081597222222221,1.6081597222222221,1.6081597222222221,1,54.81319444444444,54.81319444444444,1,19.0,19.0,36.0,36.0,36.0
2016-10-01,False,sparse_start,265,2,0.007547169811320755,49507.66,170.9,265,12.995001616002796,8.872291666666667,25.856124999999995,261,5.871262017525188,3.333101851851852,13.685960648148148,265,19.600558787561145,17.944282407407407,265,56.30943396226415,55.0,-36.675471698113206,-39.0,-21.0
2016-11-01,False,sparse_start,0,0,,,,0,,,,0,,,,0,,,0,,,,,
2016-12-01,False,sparse_start,1,0,0.0,10.9,,1,3.2797453703703705,3.2797453703703705,3.2797453703703705,1,1.402974537037037,1.402974537037037,1.402974537037037,1,4.693020833333334,4.693020833333334,1,27.0,27.0,-22.0,-22.0,-22.0
2017-01-01,False,partial_start,750,22,0.029333333333333333,120312.87,3115.95,748,2.9432665193602694,1.7838425925925927,5.676446759259262,749,9.217788532858627,7.15011574074074,14.19639583333334,750,12.647043518518519,10.733645833333334,750,40.16133333333333,39.0,-27.408,-29.0,-16.0
2017-02-01,True,full_comparable,1653,49,0.029643073200241985,247303.02,6263.68,1640,3.2421554736901537,1.8688483796296296,7.143556712962965,1651,9.559654320052942,7.3201273148148145,16.229872685185185,1653,13.168825248986131,10.971203703703704,1653,32.49546279491833,31.0,-19.195402298850574,-20.0,-10.0
2017-03-01,True,full_comparable,2546,116,0.04556166535742341,374344.3,16070.84,2546,2.865148635477583,1.8104050925925925,6.296620370370371,2545,9.837983978207086,7.045821759259259,16.872743055555542,2546,12.951184487831311,10.126487268518519,2546,25.371563236449333,23.0,-12.327179890023567,-14.0,-6.0
2017-04-01,True,full_comparable,2303,151,0.06556665219279201,359927.23,28172.07,2279,3.180607199592089,1.9834027777777778,6.709391203703704,2303,11.23512200270179,8.90013888888889,20.192212962962962,2303,14.917912500402052,12.748622685185186,2303,27.99478940512375,26.0,-12.97177594442032,-14.0,-2.0
2017-05-01,True,full_comparable,3545,106,0.029901269393511988,506071.14,14764.98,3531,2.5832908590054227,1.5994328703703704,5.985601851851852,3544,8.344616755758297,7.031903935185185,14.793261574074076,3545,11.322362975369586,9.793333333333333,3546,24.926113931190073,24.0,-13.497884344146685,-14.0,-6.0
2017-06-01,True,full_comparable,3135,95,0.030303030303030304,433038.6,26442.62,3131,2.7465007555863115,1.8677314814814816,6.0044560185185185,3134,8.882869528350941,7.436284722222222,15.085908564814813,3135,12.011572704383012,10.804907407407407,3135,24.657097288676237,24.0,-12.644338118022329,-13.0,-6.0
2017-07-01,True,full_comparable,3872,108,0.027892561983471075,498031.48,18691.46,3852,2.723996258557363,1.9435648148148148,5.929579861111112,3861,8.513436618679675,7.062627314814815,15.174953703703704,3872,11.592732387200604,10.158072916666665,3872,23.959710743801654,24.0,-12.47081611570248,-13.0,-6.0
2017-08-01,True,full_comparable,4193,122,0.02909611256856666,573971.68,16639.93,4192,2.6998774644605246,1.8745486111111112,5.597842592592593,4191,8.067618477535637,6.946122685185185,14.893009259259259,4193,11.147124655510506,9.769814814814815,4193,24.11399952301455,23.0,-13.09754352492249,-13.0,-6.0
2017-09-01,True,full_comparable,4150,182,0.04385542168674699,624401.69,26710.42,4136,2.7778810517631993,1.9996354166666666,5.794484953703703,4149,8.647063418338199,7.089942129629629,15.922069444444446,4150,11.85100652889335,10.314432870370371,4150,23.070843373493975,23.0,-11.348192771084337,-12.0,-4.0
2017-10-01,True,full_comparable,4478,187,0.041759714158106295,664219.43,25773.67,4478,3.056041961317056,1.958315972222222,6.364792824074075,4478,8.406940825930889,7.04761574074074,15.173023148148149,4478,11.856699698526128,10.263362268518518,4478,23.656543099598036,23.0,-11.923403305046897,-12.0,-4.0
2017-11-01,True,full_comparable,7288,904,0.12403951701427003,1010271.37,126218.09,7288,3.616142279165142,2.7356597222222225,6.75234837962963,7288,11.094693148872322,8.759988425925926,21.94605787037037,7288,15.161131699241777,12.698680555555555,7289,23.196186033749484,23.0,-8.123490669593853,-10.0,2.0
2017-12-01,True,full_comparable,5513,411,0.07455106112824234,743914.17,77499.92,5508,3.2731452020966136,2.154351851851852,6.5293495370370405,5513,11.674491437746472,9.090474537037037,23.1258587962963,5513,15.394918530107288,13.1421875,5513,28.3141665155088,28.0,-13.008525303827318,-14.0,-2.0
2018-01-01,True,full_comparable,7069,403,0.05700947800254633,950030.36,68787.49,7045,3.185552738020135,2.112060185185185,6.158863425925926,7069,10.483269291979063,8.035972222222222,20.859129629629628,7069,14.080562613956083,11.830115740740741,7069,26.940161267506014,26.0,-12.934361295798556,-14.0,-4.0
2018-02-01,True,full_comparable,6555,926,0.14126620900076278,844178.71,127034.06,6543,3.1661940400682664,2.166863425925926,6.358493055555556,6555,13.383321741602396,11.02357638888889,26.80975231481483,6555,16.945137568155495,14.26375,6555,25.164149504195272,25.0,-8.290770404271548,-10.0,4.600000000000364
2018-03-01,True,full_comparable,7003,1328,0.18963301442239042,983213.44,187137.72,7001,2.979003518677226,2.0622569444444445,5.840833333333333,7003,12.967830918032483,9.880127314814814,28.218125000000008,7003,16.30141017440938,13.367731481481481,7003,22.665286305868914,22.0,-6.427673854062545,-8.0,7.0
2018-04-01,True,full_comparable,6798,306,0.04501323918799647,996647.75,48351.92,6409,2.3863711205451823,1.474710648148148,5.272532407407407,6791,8.673587632323827,6.9115162037037035,18.130625,6798,11.499241053673193,9.314728009259259,6798,24.314504265960576,24.0,-12.89511621065019,-13.0,-5.0
2018-05-01,True,full_comparable,6749,443,0.06563935397836716,996517.68,66307.89,6681,2.335043948912616,1.3484837962962963,5.366238425925926,6719,8.735106128695298,6.511875,18.306662037037036,6749,11.419028935356678,9.14787037037037,6749,23.52748555341532,22.0,-12.190991257964143,-12.0,-2.0
2018-06-01,True,full_comparable,6096,71,0.011646981627296589,865124.31,12801.79,5976,2.2478346042348405,1.2138310185185186,4.892916666666666,6050,6.669685514233241,5.780237268518519,12.337363425925925,6096,9.239216293167347,7.95761574074074,6099,28.405476307591407,28.0,-19.244094488188978,-19.0,-8.0
2018-07-01,True,full_comparable,6156,208,0.03378817413905133,895507.22,36531.52,5596,2.608691107901146,1.3106018518518519,6.06837962962963,6119,6.107237774115839,5.298877314814815,11.083849537037036,6156,8.958636237154959,7.5017245370370365,6159,20.332521513232667,20.0,-11.441520467836257,-11.0,-4.0
2018-08-01,True,full_comparable,6351,393,0.061880018894662256,854686.33,52302.45,6265,2.203107375631817,1.1872800925925926,5.1464444444444455,6306,5.206691806230985,4.935978009259259,9.201244212962962,6351,7.732779720458137,7.013703703703704,6351,15.82034325303102,14.0,-8.162179184380413,-7.0,0.0
2018-09-01,False,sparse_tail,0,0,,145.0,,0,,,,0,,,,0,,,0,,,,,
2018-10-01,False,sparse_tail,0,0,,,,0,,,,0,,,,0,,,0,,,,,
