segment_type,segment_key,segment_sort,eligible_orders,late_orders,late_delivery_rate,reviewed_orders,without_usable_review,review_coverage,negative_review_orders,negative_review_rate,avg_review_score,early_reviewed_orders,early_negative_review_orders,early_negative_review_rate,on_time_reviewed_orders,late_reviewed_orders,late_negative_review_orders,late_negative_review_rate,gmv,multi_category_orders,is_low_sample
customer_state,SP,0,40494,1820,0.044944930113103174,39837,657,0.9837753741295007,4223,0.1060069784371313,4.2491151442126665,37512,3184,0.08487950522499467,557,1768,962,0.5441176470588235,5066562.98,321,False
customer_state,RJ,0,12350,1495,0.12105263157894737,12055,295,0.9761133603238866,2183,0.18108668602239736,3.972874326005807,10454,1118,0.1069447101587909,166,1435,1044,0.7275261324041812,1759651.13,119,False
customer_state,MG,0,11354,519,0.04571076272679232,11162,192,0.9830896600317068,1294,0.115929044974019,4.197814011825837,10548,989,0.09376185058778916,114,500,293,0.586,1552481.83,101,False
customer_state,RS,0,5344,325,0.06081586826347305,5263,81,0.9848428143712575,620,0.11780353410602318,4.190575717271519,4892,414,0.08462796402289452,57,314,202,0.643312101910828,728718.47,58,False
customer_state,BA,0,3256,396,0.12162162162162163,3195,61,0.9812653562653563,543,0.1699530516431925,3.9344287949921752,2756,306,0.11103047895500726,59,380,230,0.6052631578947368,493584.14,24,False
customer_state,PR,0,4923,199,0.04042250660166565,4852,71,0.9855778996546821,520,0.10717230008244023,4.2475267930750205,4616,417,0.09033795493934142,46,190,98,0.5157894736842106,666063.51,39,False
customer_state,SC,0,3546,291,0.08206429780033841,3489,57,0.9839255499153976,448,0.1284035540269418,4.139294926913156,3155,277,0.08779714738510301,55,279,166,0.5949820788530465,507012.13,27,False
customer_state,ES,0,1995,214,0.10726817042606517,1957,38,0.9809523809523809,269,0.13745528870720491,4.079202861522739,1724,153,0.08874709976798144,29,204,114,0.5588235294117647,268643.45,11,False
customer_state,DF,0,2080,118,0.05673076923076923,2038,42,0.9798076923076923,266,0.13052011776251227,4.140333660451423,1897,179,0.09435951502372167,27,114,83,0.7280701754385965,296498.41,12,False
customer_state,GO,0,1957,128,0.06540623403168115,1918,39,0.9800715380684721,252,0.13138686131386862,4.104014598540146,1765,171,0.09688385269121813,29,124,79,0.6370967741935484,282836.7,23,False
customer_state,PE,0,1593,153,0.096045197740113,1569,24,0.9849340866290018,234,0.1491395793499044,4.079668578712556,1401,126,0.08993576017130621,19,149,105,0.7046979865771812,251889.49,5,False
customer_state,CE,0,1279,176,0.1376075058639562,1268,11,0.9913995308835027,215,0.1695583596214511,3.949526813880126,1074,92,0.0856610800744879,20,174,119,0.6839080459770115,219757.38,8,False
