purchase_week,delivery_performance_eligible,late_count,late_delivery_rate,avg_seller_handling_days,avg_carrier_transit_days,avg_promised_window_days
2017-09-25,124,3,0.024193548387096774,2.2177185073178016,9.287183953106332,27.024193548387096
2017-10-02,975,26,0.02666666666666667,3.0938432098765434,8.735665230294398,26.90871794871795
2017-10-09,1030,48,0.04660194174757282,3.3935522069399497,8.229762293239842,22.53495145631068
2017-10-16,1105,50,0.04524886877828054,2.925683593095358,8.295205379587733,22.55113122171946
2017-10-23,950,39,0.04105263157894737,2.9201814083820663,8.33138019005848,23.492631578947368
2017-10-30,900,39,0.043333333333333335,3.2491629243827163,8.475319624485596,22.961111111111112
2017-11-06,1168,58,0.04965753424657534,3.3309152040525114,9.143589043077752,23.11558219178082
2017-11-13,1259,105,0.08339952343129468,3.6776336120671904,9.577536091989527,22.26131850675139
2017-11-20,2915,503,0.1725557461406518,3.847745036846452,12.380533618416873,23.143739279588335
2017-11-27,2046,298,0.14565004887585534,3.434645390311996,12.41162989097969,25.081094284318514
2017-12-04,1631,169,0.10361741263028816,3.276271947400132,12.36176348156096,27.732066217044757
2017-12-11,1367,77,0.056327724945135334,2.856864052466878,11.852934650085345,28.32626188734455
2017-12-18,952,58,0.06092436974789916,3.4148644544623403,11.244253824793807,28.964285714285715
2017-12-25,857,29,0.0338389731621937,3.620296563701975,10.175878508686633,29.228704784130688
2018-01-01,1341,45,0.03355704697986577,3.5779605272249864,9.73691442607783,28.39821029082774
2018-01-08,1738,69,0.039700805523590336,3.211058634871926,10.22006865863274,27.201956271576524
2018-01-15,1704,116,0.06807511737089202,3.0528979335115634,10.351245021246305,26.204225352112676
2018-01-22,1545,114,0.07378640776699029,3.133645788385473,10.729195148627593,26.467313915857606
2018-01-29,1561,101,0.0647021140294683,3.036045017651028,12.252417513405462,27.508648302370275
2018-02-05,1541,132,0.08565866320571058,3.577730147750289,12.581371133463119,27.72290720311486
2018-02-12,1595,205,0.12852664576802508,3.1373001815141133,12.530542820445838,24.02884012539185
2018-02-19,1713,326,0.19030939871570343,2.96530086511643,14.213691791799096,23.448920023350848
2018-02-26,1849,487,0.2633856138453218,3.13292423457124,15.577670205867035,22.89616008653326
2018-03-05,1598,396,0.24780976220275344,2.837541020199912,14.957943400025496,23.324780976220275
2018-03-12,1541,325,0.2109020116807268,2.8326300955988457,13.592364964128633,23.10707332900714
2018-03-19,1671,198,0.118491921005386,2.81284641875568,10.769636535286034,21.836624775583484
2018-03-26,1431,159,0.1111111111111111,3.080114438556306,10.425032214910578,22.020964360587
2018-04-02,1555,108,0.06945337620578779,2.385021719066333,9.144673104977969,22.491961414790996
2018-04-09,1522,54,0.035479632063074903,2.5311672020246263,8.621981949919697,25.00197109067017
2018-04-16,1637,60,0.03665241295051924,2.2889205671383515,8.598598936061903,25.77580940745266
2018-04-23,1648,63,0.03822815533980582,2.418349148289511,8.457129037893646,24.56128640776699
2018-04-30,235,5,0.02127659574468085,2.0205680276181353,7.671010670004769,23.106382978723403
