population,orders,reviewed_orders,without_usable_review,unusable_only_orders,no_review_orders,review_coverage,negative_review_orders,negative_review_rate,avg_review_score
all_orders,99441,97530,1911,1143,768,0.9807825745919692,14197,0.14556546703578385,4.091346252435148
comparable_eligible,95453,93799,1654,1020,634,0.9826721004054352,11903,0.12689900745210503,4.160204266570006
delivered_orders,96478,94782,1696,1050,646,0.9824208627873712,12033,0.12695448502880294,4.160093688675065
delivery_performance_eligible,96470,94774,1696,1050,646,0.9824194049963719,12032,0.12695465000949627,4.16006499672906
first_orders,96096,94808,1288,552,736,0.9865967365967366,13882,0.14642224284870475,4.086975782634377
repeat_orders,3345,2722,623,591,32,0.8137518684603886,315,0.11572373254959588,4.243570903747245
