analysis_period,delivery_class,eligible_orders,seller_handling_eligible,carrier_transit_eligible,purchase_to_delivery_eligible,avg_seller_handling_days,median_seller_handling_days,avg_carrier_transit_days,median_carrier_transit_days,avg_purchase_to_delivery_days,median_purchase_to_delivery_days,avg_promised_window_days,median_promised_window_days,avg_delivery_delay_days,median_delivery_delay_days,gmv,late_gmv
comparable_trend_window,early,87654,86325,87474,87654,2.599631401036136,1.7771643518518518,7.894028291157838,6.925972222222223,10.856577094683727,9.702528935185185,24.302861249914436,24.0,-13.511054829214867,-13.0,11912734.87,
comparable_trend_window,late,6509,6484,6506,6509,5.535486809054196,3.0725694444444445,27.838072375855337,26.17070601851852,33.86162369198204,31.208912037037038,23.237056383469042,23.0,10.584114303272392,7.0,982502.52,982502.52
comparable_trend_window,on_time,1290,1281,1289,1290,4.187957379217625,2.777789351851852,14.500604931686924,15.194351851851852,19.166317246267585,20.35785300925926,19.113178294573643,20.0,0.0,0.0,172742.2,
full_extract,early,88644,87313,88459,88644,2.6306618834548416,1.7848726851851853,7.889079275139183,6.924791666666667,10.884260306415007,9.72744212962963,24.528360633545418,24.0,-13.707177022697532,-13.0,12061328.42,
full_extract,late,6534,6509,6531,6534,5.573975138767974,3.066527777777778,27.88855650508685,26.198067129629628,33.95029001079822,31.249774305555555,23.290327517600247,23.0,10.620140801958984,7.0,985924.34,985924.34
full_extract,on_time,1292,1283,1291,1292,4.208720906945527,2.777789351851852,14.537039018346386,15.195763888888889,19.222629966460268,20.37002314814815,19.16950464396285,20.0,0.0,0.0,172996.17,
