review_availability,delivered_orders,eligible_orders,late_orders,late_delivery_rate,repeat_orders,repeat_share,avg_gmv,median_gmv,gmv
reviewed,94782,94774,6307,0.0665477873678435,2661,0.02807495094005191,137.07930714692662,86.9,12992650.89
unreviewed,1696,1696,227,0.1338443396226415,561,0.33077830188679247,134.93350235849056,80.595,228847.22
