purchase_month,is_comparable_trend_window,eligible_orders,late_orders,reviewed_orders,negative_review_orders,negative_review_rate,avg_review_score,early_reviewed_orders,early_negative_review_orders,early_negative_review_rate,late_reviewed_orders,late_negative_review_orders,late_negative_review_rate
2016-09-01,False,1,1,4,4,1.0,1.0,0,0,,1,1,1.0
2016-10-01,False,265,2,315,93,0.29523809523809524,3.549206349206349,256,42,0.1640625,2,1,0.5
2016-12-01,False,1,0,1,0,0.0,5.0,1,0,0.0,0,0,
2017-01-01,False,750,22,760,117,0.15394736842105264,4.067105263157894,693,69,0.09956709956709957,21,15,0.7142857142857143
2017-02-01,True,1653,49,1746,277,0.1586483390607102,4.0303550973654065,1578,146,0.09252217997465145,41,29,0.7073170731707317
2017-03-01,True,2546,116,2622,367,0.13996948893974065,4.086956521739131,2351,205,0.08719693747341557,112,65,0.5803571428571429
2017-04-01,True,2303,151,2357,365,0.15485787017394995,4.0426389478150195,2087,203,0.09726880689985626,145,87,0.6
2017-05-01,True,3545,106,3604,457,0.12680355160932297,4.1456714761376245,3340,292,0.08742514970059881,97,48,0.4948453608247423
2017-06-01,True,3135,95,3156,397,0.12579214195183777,4.151615969581749,2937,266,0.09056860742254001,92,52,0.5652173913043478
2017-07-01,True,3872,108,3916,473,0.12078651685393259,4.182584269662922,3647,300,0.08225939128050452,103,66,0.6407766990291263
2017-08-01,True,4193,122,4223,475,0.11247928013260715,4.24413923750888,3957,315,0.07960576194086429,117,61,0.5213675213675214
2017-09-01,True,4150,182,4198,521,0.12410671748451643,4.1868747022391615,3855,316,0.08197146562905318,177,94,0.5310734463276836
2017-10-01,True,4478,187,4535,595,0.13120176405733186,4.127894156560088,4165,380,0.09123649459783914,178,96,0.5393258426966292
2017-11-01,True,7288,904,7388,1387,0.18773687060097455,3.911748781808338,6132,594,0.09686888454011741,879,568,0.646188850967008
2017-12-01,True,5513,411,5557,904,0.16267770379701277,4.023933777217923,4964,497,0.10012087026591458,397,272,0.6851385390428212
2018-01-01,True,7069,403,7128,1101,0.15446127946127947,4.043350168350169,6490,662,0.10200308166409862,393,276,0.7022900763358778
2018-02-01,True,6555,926,6507,1336,0.20531735054556632,3.8330259720301214,5345,557,0.10420954162768943,881,636,0.7219069239500567
2018-03-01,True,7003,1328,7073,1605,0.22691927046514915,3.7560441114095857,5429,551,0.10149198747467306,1284,868,0.67601246105919
2018-04-01,True,6798,306,6863,888,0.129389479819321,4.163631065131867,6387,595,0.0931579771410678,295,186,0.6305084745762712
2018-05-01,True,6749,443,6825,814,0.11926739926739927,4.194285714285714,6160,511,0.08295454545454546,436,204,0.46788990825688076
2018-06-01,True,6096,71,6116,659,0.10775016350555919,4.277468933943754,5964,558,0.09356136820925554,71,43,0.6056338028169014
2018-07-01,True,6156,208,6198,680,0.10971281058405938,4.267102291061633,5806,476,0.08198415432311403,200,100,0.5
2018-08-01,True,6351,393,6433,678,0.1053940618684906,4.271879371988186,5659,410,0.0724509630676798,385,164,0.42597402597402595
2018-09-01,False,0,0,4,3,0.75,1.5,0,0,,0,0,
2018-10-01,False,0,0,1,1,1.0,1.0,0,0,,0,0,
