purchase_quarter,delivery_performance_eligible,late_count,late_delivery_rate,late_gmv,avg_of_monthly_median_transit
2017-01-01,4199,165,0.039295070254822574,22334.52,7.182974537037037
2017-04-01,8983,352,0.039185127462985636,69379.67,7.789442515432099
2017-07-01,12215,412,0.03372902169463774,62041.81,7.03289737654321
2017-10-01,17279,1502,0.08692632675502054,229491.68,8.299359567901234
2018-01-01,20627,2657,0.12881175158772482,382959.27,9.646558641975309
2018-04-01,19643,820,0.04174515094435677,127461.6,6.40120949074074
2018-07-01,12507,601,0.04805309026944911,88833.97,5.117427662037037
